number,created_at,text,source,user is verified,user has url,user has alt account,user description,user created at,account_age_months,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,engagement,user location,binary_class,ternary_class
45,7/9/22 0:00,"#Monkeypox is rare &amp; does not spread easily between people without close contact. The threat of #MonkeyPox to the general NJ population remains low. For more information, visit @CDCgov at _URL_ #HealthierJC @JerseyCity _URL_",Hootsuite Inc.,0,1,0,"Together with our partners HHS, JCHA, JCMC, NJCU & JCPC, our mission is to create a culture of health in Jersey City, NJ.",3/3/16 21:22,76,0,0,0,0,2245,1582,7434,30,0,"Jersey City, NJ",0,0
47,7/9/22 0:01,New York Post : Men likely spread monkeypox at Texas bathhouses through sex with multiple men. _URL_ via @GoogleNews,Twitter for Android,0,1,0,Su Real Alteza Guillermo Dafid desde Casa Morillo de Andalusia y Rey de Nuevo Espana y del Gente y Conde de Cartagena y Marqués de La Puerta (1816 Fernando VII),8/11/11 15:40,130,0,0,0,0,530,499,144866,2,0,Florida,0,0
48,7/9/22 0:01,Dozens line up for vaccine against monkeypox in New York City _URL_ via @MailOnline,Twitter Web App,0,0,0,"♡ Mother, Daughter, Friend & Animal lover. Founder of Enigma Films & Sarskaia. Science Nerd. Life is too short. Always look at the bright side.♡",1/3/11 1:28,138,0,0,0,0,2660,5002,223398,338,0,Rocky Mountain High - USA,0,0
49,7/9/22 0:01,French health body indicates at-risk groups to be vaccinated against monkeypox _URL_,Twitter Web App,0,1,0,Innovate your world via one click visit...!,7/28/21 21:51,11,0,0,0,0,5,1,8767,0,0,Pakistan,0,0
50,7/9/22 0:01,France urges monkeypox jab for sex workers — RT World News _URL_,Twitter Web App,0,0,0,None,10/10/10 12:06,140,0,0,0,0,787,4973,1248889,98,0,None,0,0
51,7/9/22 0:02,South Africa: Monkeypox Does Not Spread Faster in Men Who Have Sex With Men – Virus Spreads Through Contact _URL_,WordPress.com,1,1,0,Kenya's Dedicated Online Human Drugs and Medicines Pharmacy.,11/30/14 15:43,91,0,0,0,0,1362,278,23289,10,0,Nairobi,0,0
54,7/9/22 0:02,Experts: Monkeypox not as contagious as Covid-19 _URL_ _URL_,TwitterRSSTSOLAgent,1,1,0,News updates from Malaysia's top English-language daily and website.,3/3/09 6:19,160,1,0,0,0,1793873,252,477725,4106,5.57453E-05,"Kuala Lumpur, Malaysia",0,0
57,7/9/22 0:03,What's your risk level for getting monkeypox in South Carolina? We asked experts _URL_,SocialNewsDesk,1,1,0,"News19 WLTX is On Your Side with Breaking News, Weather and Sports from Columbia, SC. Retweets are not an endorsement. | _URL_",11/14/08 14:14,163,1,0,0,0,124132,3262,491971,1112,0.000805594,"Columbia, SC",0,0
62,7/9/22 0:04,"If you want to understand why the monkeypox vaccine and govt response has been so slow to roll out and/or read a bit more what this experience has been like, @MrJDWalsh does a job on elucidating both _URL_",Twitter for iPhone,0,1,0,(he/him) PMHNP :rainbow_flag::transgender_flag:| personal account | probably tweeting stupid shit until i get pissed like about monkeypox | aprendendo :Brazil:,9/22/09 4:32,153,0,0,2,0,8819,1242,2059,11,0.022678308,"New York, NY",0,0
63,7/9/22 0:04,First MONKEY POX case reported in Kolkata? Student admitted with 'RASH' _URL_,WordPress.com,0,1,0,"Chay Time News is a news website where you can find news in every category like Politics, Entertainment, B-Town Gossips, Sports & many More.",6/16/19 6:28,36,0,0,0,0,301,953,116473,2,0,New Delhi,0,0
65,7/9/22 0:04,West Virginia detects first probable case of monkeypox - Newsworldpress @ _URL_ _URL_,NewsWorldpress,0,1,0,"_URL_ focuses in global news, travel industry and gadget technology. We brings you the latest news from around the world.",10/13/19 6:11,32,0,0,0,0,129,2,396239,6,0,None,0,0
68,7/9/22 0:05,"@Monkeypoxtally if you have the opportunity to be vaccinated for monkeypox, here is how that vaccine works! _URL_",Twitter for iPhone,0,1,0,Medical Device Engineer | Making Science Accessible & Understandable | Subscribe on YouTube: _URL_,1/26/17 23:28,65,3,1,5,0,39604,308,2936,378,0.022724977,NYC,0,0
72,7/9/22 0:07,"@LizHighleyman @SpeakerPelosi Living in the Bay Area, we have access to weekly wastewater testing to assess MonkeyPox risk (to an extent) outside of direct testing thank you -SCAN (sewer coronavirus alert network) -@Stanford  -@EmoryUniversity  -@verilylifesci  _URL_ _URL_",Twitter Web App,0,0,0,The main air filter in your home is your families lungs. Windows+HEPA+CO2meter+Masks #Vaccinate #Ventilate #useHEPA #monitorCO2 #MaskUpN95,6/17/18 13:28,48,0,0,1,0,1296,725,22836,19,0.077160494,None,0,0
73,7/9/22 0:07,West Virginia detects first probable case of monkeypox _URL_,WordPress.com,0,1,0,Welcome to the official Handle of theusarticles here you will find the latest news updates about the latest happening in The America & around the world,1/15/22 7:01,5,0,0,0,0,22,123,29902,1,0,None,0,0
78,7/9/22 0:08,Tune in to @News12BX @News12BK for more on what people think of the accessibility and equity of the monkey pox vaccine. _URL_,Twitter for iPhone,1,0,0,:movie_camera: News Reporter @news12 covering NYC:Statue_of_Liberty::red_apple: Facebook & Instagram: @faithgrahamtv,1/2/19 2:21,42,1,1,4,0,5150,485,1082,20,0.116504854,"New York, USA",0,0
82,7/9/22 0:09,"Biden administration to distribute 144,000 additional doses of monkeypox vaccine as cases spike _URL_",Twitter Web App,0,0,0,I'm seriously newsie. Anything I say is my own opinion. A picture is worth a thousand words.,11/9/16 15:41,68,0,0,0,0,538,2150,221949,3,0,Northeast USA,0,0
83,7/9/22 0:10,France to begin preventive monkeypox vaccination campaign for vulnerable groups _URL_ _URL_,aa.com.tr,1,1,0,"News from around the world, digital content, human interest stories by Anadolu Agency Also follow :camera_with_flash:+ :movie_camera:: @anadoluimages TR: @anadoluajansi AR: @aa_arabic",1/19/11 14:45,137,1,0,2,0,189132,28,289329,2304,0.001586194,Ankara - TÜRKİYE,0,0
87,7/9/22 0:11,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,0,0,0,None,3/12/10 5:38,147,0,0,0,0,24970,27466,954911,8,0,"Tuscaloosa, AL",0,0
89,7/9/22 0:11,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Tweetbot for iΟS,1,0,0,"Explorer, founder of Lachine, seigneur of Cataracoui, discoverer of the mouths of the Mississippi.",3/8/15 18:30,88,4,16,28,4,130677,1107,160240,1240,0.039792771,None,0,0
90,7/9/22 0:11,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say Longstanding weaknesses in the public health system are giving the virus a chance to become entrenched. via @NYTimes _URL_",Twitter for iPhone,1,0,0,"Desmond Tutu: ""If you are neutral in situations of injustice, you have chosen the side of the oppressor.""",4/19/09 16:10,158,27,3,47,2,475954,1471,98048,3419,0.016598243,USA,0,0
92,7/9/22 0:12,"As of Friday, New York City is reporting 160 presumed monkeypox cases. Here's what you need to know about the disease, as well as the five boroughs' efforts to fight it, with advice from @CDCgov and @nycHealthy. _URL_",Sprout Social,0,1,0,Healthy families. Thriving communities. Health equity in NYC. RT ≠ endorsement.,4/25/16 15:50,74,0,0,1,0,2529,2083,4199,27,0.039541321,"New York, NY",0,0
96,7/9/22 0:12,"NYTimes: The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter Web App,0,0,0,:peace_symbol::purple_heart: Blessed Be )0( #OverEducatedUnderLovedGenXCatLover #Mom #Wife #Friend #BLM #Resist #LoveIsLove #Ally #StopDomesticViolence She/her,5/27/15 23:05,85,0,0,0,0,3247,4990,85747,41,0,"Michigan, USA",0,0
99,7/9/22 0:13,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say Longstanding weaknesses in the public health system are giving the virus a chance to become entrenched.  _URL_",Twitter for Android,0,0,0,"Sports, Politics, Entertainment, Commerce, Technology, Relationships and Law (SPECTRaL) Enthusiast; Host: @RacialDraftPod; @ThePopBreak; He/Him",3/29/09 16:11,159,0,0,0,0,2041,1755,314871,113,0,"Brooklyn, NY",0,0
102,7/9/22 0:13,"""Yet the response in the United States has been sluggish and timid, reminiscent of the early days of the #Covid #pandemic, experts say, raising troubling questions about the nation's preparedness for pandemic threats."" _URL_  #monkeypox",Twitter for iPhone,0,1,0,"Culture Worker | Curator, Essayist, Arts Educator - Multicultic Afro-diasporic Healer | Yayi Nkisi Malongo, Muertera, Espiritista",4/27/08 18:56,170,1,0,3,0,5436,1665,30087,87,0.073583517,"Seattle, WA",0,0
105,7/9/22 0:14,"As monkeypox hits California's LGBTQ community, activists say not enough is being done _URL_ via @Yahoo",Twitter Web App,0,0,0,DAWG,3/19/22 20:26,3,0,0,0,0,7,57,5522,0,0,None,0,0
106,7/9/22 0:15,"Philly's tally of monkeypox cases is growing, and a shipment of 225 vaccine doses expected to arrive next week falls short of the city's needs in a growing national outbreak, health department officials said. _URL_",SocialFlow,1,1,0,"The Philadelphia Inquirer is your front-row seat to the Greater Philadelphia region. You can support local, impactful journalism at _URL_",3/26/08 1:57,171,5,0,5,1,433497,1228,220191,3078,0.002537503,"Philadelphia, PA",0,0
110,7/9/22 0:15,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,0,1,0,"Past President NSLP, Past Director (NS) LPC, Professor, Editor Stuart Texts (_URL_ Past Chair, _URL_ _URL_",3/6/12 14:51,124,0,0,0,0,1043,2012,49281,0,0,Canada,0,0
112,7/9/22 0:16,"The @SF_DPH received 2,300 doses of the monkeypox vaccine this week. Supply constraints mean that only high-risk groups are being told to get vaccinated for the moment—and there aren't yet clear eligibility guidelines. Here's what you need to know. :down_arrow: _URL_",Sprout Social,1,1,0,Know Your City. News serving everyone with a stake in the future of San Francisco.,1/4/21 1:04,18,1,0,2,0,8392,458,4208,128,0.035748332,"San Francisco, CA",0,0
114,7/9/22 0:16,"Health officials have identified Michigan's second case of monkeypox in Detroit. The first was in Oakland County, but it's not clear if the two instances may be linked. _URL_",Twitter Web App,1,0,0,Journalist @wnemtv5news. @_hamptonu & @waynestate alum. Child of God. Native Detroiter. My tweets are not affiliated with any organization.,5/19/09 22:07,157,0,0,0,0,1319,1037,22318,29,0,None,0,0
115,7/9/22 0:16,"Monkeypox spreads in different ways.  The virus can spread from person-to-person through: Direct contact with the infectious rash, scabs or body fluids. Respiratory secretions during prolonged, face-to-face contact or during intimate physical contact.",Twitter Web App,0,1,0,"Certified Paralegal. former photog for the @AP @NYTimes @LATimes Swimmer, runner, and cyclist. #JohnLewisVotingRightsAct",10/11/08 8:05,164,0,1,0,0,3832,5001,156862,349,0.026096033,In My Heart,0,0
120,7/9/22 0:17,"Another barrier to containing a disease like monkeypox is a dearth of sexual health clinics, as Dr. Varma noted in a recent opinion article in The New York Times. _URL_",Twitter for iPhone,1,1,0,Buffalonian. Words in @currentpubmedia @Washingtonpost @BlockClubChi @Citylab DM for Signal,11/29/10 5:45,139,2,1,0,0,7829,8947,36840,180,0.03831907,"Chicago, IL",0,0
122,7/9/22 0:18,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,0,0,0,I want a world where everyone belongs and is valued. #WarrenDemocrat #Boomer She/Her Vaccinated against Covid-19,10/31/14 19:31,92,0,1,0,0,1726,1678,65872,15,0.057937428,"Manhattan, NY",0,0
124,7/9/22 0:19,Check out Brandi Smith's video! #TikTok _URL_ 20 Cases of Confirmed Monkey Pox in Houston Men,Twitter for Android,0,0,0,"Fun, friendly, witty 60 year old man who loves animals and kind kindred people.",7/5/22 10:56,0,0,0,0,0,0,1,608,0,0,None,0,0
126,7/9/22 0:19,"Monkeypox is transmitted to humans through close contact (eyes,nose,mouth,small droplets) with an infected person or animal, or with material contaminated with the virus. Take all the precautions to protect yourself, &amp; avoid someone that exhibit the monkeypox symptoms.",Twitter Web App,0,1,0,"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",2/12/21 7:29,16,0,1,0,0,528,618,1297,0,0.189393939,ቤተ አምሓራ,0,0
127,7/9/22 0:19,"Monkeypox, caused by the monkeypox virus is spreading globally, with @CDCgov reporting &gt;600 confirmed cases in U.S, &gt; 100 in California,40 cases in San Francisco. Symptoms include fever, swollen lymph nodes, body aches, &amp; sores or rash with skin lesions and scabs.",Twitter Web App,0,1,0,"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",2/12/21 7:29,16,0,1,2,0,528,618,1297,0,0.568181818,ቤተ አምሓራ,0,0
128,7/9/22 0:19,5 Things to Know about Monkeypox @dr_demetre _URL_ via @YouTube,Twitter Web App,0,1,0,"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",2/12/21 7:29,16,0,1,0,0,528,618,1297,0,0.189393939,ቤተ አምሓራ,0,0
131,7/9/22 0:19,"FAQ: Monkeypox is in Oregon. What you need to know about symptoms, spread and vaccines _URL_",IFTTT,1,1,0,"Follow for breaking news, stories, photos, RTs of our journalists and more",1/10/09 18:46,161,3,0,3,0,31580,104,67493,568,0.018999367,"3500 Chad Dr., Ste. 600, 97408",0,0
133,7/9/22 0:19,"""The first missteps in the US response to monkeypox were in testing. As in the early days of the coronavirus pandemic, samples..are being funneled to the CDC for final diagnosis, a process that can take days. Only recently have tests been shipped to commercial laboratories""",Twitter Web App,1,1,0,Board of Governors Professor of Chemistry and Chemical Biology @RutgersU,6/17/09 0:32,156,1,1,10,1,44002,253,58701,597,0.029544112,"New Jersey, USA",0,0
134,7/9/22 0:19,"""The first cases of monkeypox were reported in May, but tests will not be readily available until sometime this month. Vaccines will be in short supply for months longer. Surveillance is spotty, and official case counts are likely a gross underestimate.""",Twitter Web App,1,1,0,Board of Governors Professor of Chemistry and Chemical Biology @RutgersU,6/17/09 0:32,156,1,1,12,0,44002,253,58701,597,0.031816736,"New Jersey, USA",0,0
135,7/9/22 0:20,Probable #monkeypox case diagnosed in Clark County. _URL_,Sprout Social,1,1,0,The news that matters to you from local experts and trusted sources. Always live on the free @Audacy app.,4/27/09 17:10,158,0,0,0,0,5755,1868,38554,262,0,"Las Vegas, NV",0,0
142,7/9/22 0:21,an interesting implication of the monkeypox apobec story is that it suggests that mpxv is NOT susceptible to the apobecs in its original reservoir _URL_,Twitter Web App,0,0,0,Very safe. Perfectly normal.,6/18/11 14:38,132,0,2,5,0,9265,2009,104792,138,0.075553157,Pluto,0,0
145,7/9/22 0:22,US will send out more monkeypox vaccines as cases surpass 700 _URL_,WordPress.com,0,1,0,"_URL_ provides Top Latest Breaking News of Technology, Science, Entertainment, Politics, Sports, etc.",8/2/21 2:36,11,0,0,0,0,58,72,23796,0,0,None,0,0
151,7/9/22 0:22,Monkeypox vaccine: Durham and Wake County have limited supply _URL_,WordPress.com,0,1,0,None,4/5/17 14:41,63,0,0,0,0,145,417,54244,0,0,USA,0,0
155,7/9/22 0:23,"Rapid Diagnostic Testing for Response to the Monkeypox Outbreak — Laboratory Response Network, United States, May 17–June 30, 2022 _URL_",WordPress.com,0,1,0,24/7 News From Around the World,3/17/22 0:31,3,0,0,0,0,88,11,58096,0,0,"Los Angeles, CA",0,0
156,7/9/22 0:23,Just heard on the local news that a monkey pox vaccine will be available here in California very soon :smiling_face_with_smiling_eyes:.,Twitter for iPhone,0,0,0,"Black, gay, smart, witty, anti-social, with many eclectic taste. This seemed like the perfect forum for me.",8/17/13 2:06,106,0,0,0,0,71,318,2606,1,0,Where I want to be,0,0
167,7/9/22 0:25,Wake county got a case of monkey pox :face_exhaling:,Twitter for iPhone,0,0,0,funny shit lives here . laugh :wilted_flower:,8/31/10 12:47,142,0,0,0,0,1282,1349,48350,5,0,None,0,0
173,7/9/22 0:28,Finding out that they're giving monkey pox vaccines to those in Fire Island while only opening two sites in Manhattan and ignoring Brooklyn Queens and the Bronx _URL_,Twitter for iPhone,0,1,0,Easy. Breezy. Beautiful. Queer liberation not rainbow capitalism. :rainbow_flag::Iran:,5/24/09 2:31,157,1,0,11,1,1841,988,43307,7,0.706137968,"Brooklyn, NY",0,0
177,7/9/22 0:29,"@B52Malmet @nytimes But don't fall into trap that it is a ""gay disease"".. CDC notes methods of spread of monkey pox. _URL_",Twitter for iPhone,0,0,0,"Mother, Grandmother, Teacher, Attorney, Christian but not Evangelical Right ... Time 2 Act for truth. The Rolex belonged to his late son, Beau.",3/1/16 3:13,76,0,1,0,0,1392,422,148340,5,0.07183908,United States,0,0
178,7/9/22 0:29,New York City has quickly become the epicenter of the monkeypox outbreak in the U.S. and communities most affected are scrambling to get their hands on a limited supply of the vaccine. _URL_,SocialFlow,1,1,0,Get breaking news and Storm Team 4 weather updates. Plus stories from New York's biggest investigative unit. News tip or question? tips@nbcnewyork.com,8/15/08 16:16,166,9,8,4,0,343829,1953,265640,4564,0.006107687,"New York, NY",0,0
180,7/9/22 0:29,SOUTH FLORIDA GAYS wilton manors is offering monkeypox vaccines next week at the pride center. only the 13th-16th are open. make an appointment. _URL_,Twitter for iPhone,0,1,0,27 | he/him/his | blm,8/9/10 19:35,143,0,1,1,0,2016,406,36092,1,0.099206349,"Miami, FL",0,0
183,7/9/22 0:30,"MONKEYPOX IN NYC: As cases continue to climb, concerned New Yorkers are worried that vaccine rollout will not target the right communities in all five boroughs. _URL_",TweetDeck,1,1,0,"24/7 Hyper-local breaking news, weather, traffic and more. Download our app or go to _URL_ for updates. For news tips, call (718) 861-6800. #Bronx",5/6/09 19:04,158,1,0,2,0,26452,189,63269,500,0.011341297,"Bronx, NY",0,0
184,7/9/22 0:30,"MONKEYPOX IN NYC: As cases continue to climb, concerned New Yorkers are worried that vaccine rollout will not target the right communities in all five boroughs. _URL_",TweetDeck,1,1,0,"24/7 Hyper-local breaking news, weather, traffic and more. Download our app or go to _URL_ for updates. For news tips, call (718) 861-6818. #Brooklyn",5/6/09 19:44,158,0,0,0,0,18210,220,60229,427,0,"Brooklyn, NY",0,0
185,7/9/22 0:30,UPDATE: The Southern Nevada Health District reported that a man in his 40's is the latest probable monkeypox case. #monkeypox _URL_,Brandwatch,1,1,0,Nevada's largest newspaper and the most reliable source for news in Southern Nevada. Send news tips to newstips@reviewjournal.com #RJNow,7/8/08 21:53,168,1,5,2,0,287447,246,225132,2328,0.002783122,"Las Vegas, NV",0,0
192,7/9/22 0:30,What doctors wish patients knew about monkeypox _URL_ (via @AmerMedicalAssn),Twitter Web App,0,0,0,Disability Rights Activist,3/11/11 19:25,135,0,0,0,0,1446,5001,119934,17,0,"Silver Spring, MD",0,0
193,7/9/22 0:30,Join me and Dr. Raul Pino on 7/12 for an important discussion with local experts on how to protect yourself from the meningococcal and monkeypox outbreaks affecting our community during one of the worst outbreaks in U.S. history among gay/bi men. RSVP: _URL_ _URL_,Twitter Web App,1,1,0,"FL's first LGBTQ Latino legislator. FL House District 49. He/him/él. Good husband, brother, son, + favorite guncle. _URL_",4/17/09 4:57,158,11,3,23,0,42395,3912,19691,360,0.087274443,Orlando,0,0
194,7/9/22 0:31,Monkeypox: Is enough being done to stop its global spread? | The Stream _URL_,dlvr.it,0,0,0,"Bringing the news that is important, that as quick as a dog can bring it.",8/28/12 18:07,118,0,0,0,0,1784,179,2111894,257,0,Doghouse,0,0
195,7/9/22 0:31,"Summary of new confirmed monkeypox cases reported on July 8th: 1. Spain:Spain: recording 500 cases 2. UK:United_Kingdom: with a robust uptick 3. France:France: surprisingly high numbers 4. Italy:Italy: and Portugal:Portugal: bright spot 5. Total confirmed cases today: 1,207 6. Total confirmed cases :globe_showing_Europe-Africa: : 9,478 _URL_",Twitter for iPhone,0,1,0,Live updates on the Monkeypox outbreak and case count around the world :globe_showing_Americas: Support us- _URL_,8/9/18 12:08,47,43,14,120,12,10469,9,1026,99,1.805330022,"Miami, FL",0,0
196,7/9/22 0:31,"Interesting preprint looking at monkeypox genomes. Current MPXV strains seem to be missing the C3L gene, which normally blocks a specific part of the immune response known as complement. Perhaps this explains the lower-than-expected mortality?_URL_ _URL_",Twitter Web App,1,1,0,Canadian in Boston. Hospitalist. FIDSA. Amdt14.S3.1.1 fan. Atmospheric CO2 420 ppm. #M4A #RaisetheWage #blacklivesmatter,7/4/12 2:08,120,0,0,4,0,6766,5084,5076,71,0.059119125,"Boston, MA",0,0
197,7/9/22 0:31,NYC is 'epicenter' of monkeypox outbreak as cases surge _URL_,Twitter Web App,0,0,0,#WeThePeople #FWhoJustVoteBlue #ByeDon #BlueWave:water_wave: #TheSquad #FullyVaccinated And #Boosted #PresidentBidenAndVPHarris #TruthToPower #TeamJustice,7/26/17 11:37,59,1,0,0,0,3765,3657,48913,3,0.026560425,United States,0,0
199,7/9/22 0:31,They're saying that the monkeypox is prominent in the LGBT community LMFAOOOOOSKSK :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face: _URL_,Twitter for iPhone,0,0,0,Lioness :lion::United_States: #AdoptDontShop,9/11/20 9:35,21,0,1,3,0,210,111,11177,2,1.904761905,"Los Angeles, CA",0,0
201,7/9/22 0:32,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say - Worrisome _URL_",Twitter for iPhone,0,0,0,Former International President of Médecins Sans Frontières. Opinions expressed are my own. RT doesn't mean endorsement.,11/15/13 12:14,103,10,4,20,1,31567,484,9742,546,0.110875281,"Montréal, Québec",0,0
202,7/9/22 0:32,"Monkeypox is located in Lane County, Oregon. FAQ about infectious viruses _URL_",WordPress.com,0,1,0,collaboration@support.exbulletin.com,1/14/22 23:40,5,0,0,0,0,103,1,128163,1,0,None,0,0
214,7/9/22 0:33,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter Web App,0,0,0,#AlwaysWithHer HRC won the popular vote. I stand with Nancy. FFS Ditch Mitch. Fully Pfizered and double boosted. I stand with Ukraine. Pro-choice.,8/15/12 5:59,118,0,0,0,0,2439,3760,74433,21,0,Chicago IL suburb,0,0
220,7/9/22 0:35,"@HolyCitySinner From CDC ""Globally, early data suggest that gay, bisexual, and other men who have sex with men make up a high number of monkeypox cases."" _URL_",Twitter for iPhone,0,0,0,None,7/1/22 21:51,0,0,0,0,0,0,76,44,0,0,None,0,0
226,7/9/22 0:36,"When the number of cases exceeds 700, the United States ships more monkeypox shots _URL_",WordPress.com,0,1,0,collaboration@support.exbulletin.com,1/14/22 23:40,5,0,0,0,0,103,1,128163,1,0,None,0,0
227,7/9/22 0:36,West Bengal: Youth in hospital with suspected monkeypox - Times of India _URL_ #WestBengal,IFTTT,0,1,0,Latest News on West Bengal. Hour on Hour. Day After Day. Everyday of Every Week of Every Month. All the Year Round! Follow Me For Unbiased & Quick News Updates.,8/18/13 5:24,106,0,0,1,0,1828,2,57149,10,0.054704595,"Kolkota, West Bengal",0,0
231,7/9/22 0:37,What's your risk level for getting monkeypox in South Carolina? We asked experts _URL_ via @wltx (JR since SC really lacks in vax and protection pls tell your staff to keep up w/ this info.),Twitter Web App,0,0,0,Child of the King,1/10/18 4:54,53,0,0,0,0,39,716,19180,0,0,WORLDWIDE,0,0
232,7/9/22 0:37,@twobluecats @gabbystern @WHO @WHOAFRO You are aware that monkeypox is endemic on many areas around Africa?:face_with_rolling_eyes:,Twitter for Android,0,0,0,"Into RF, prefer UHF and VHF-L, VHF-H is mainstream and rasict. ZE/ZIE",9/1/21 8:54,10,0,0,0,0,21,51,954,1,0,None,0,0
233,7/9/22 0:37,Island Health confirms one case of monkeypox on south Island _URL_,TweetDeck,1,1,0,"Independent & Employee-Owned News for Vancouver Island, British Columbia. Email tips@cheknews.ca",6/17/10 20:18,144,10,5,12,1,53285,2038,83478,600,0.052547621,"Victoria, BC",0,0
234,7/9/22 0:38,"@HolyCitySinner CDC Guidelines: ""How can a person lower the chance of getting monkeypox at places like raves, parties, clubs, and festivals?"" _URL_",Twitter for iPhone,0,0,0,None,7/1/22 21:51,0,0,0,0,0,0,76,44,0,0,None,0,0
