number,created_at,text,source,user is verified,user has url,user description,user created at,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,user location,binary_class,ternary_class
45,2022-07-09 00:00:44,"#Monkeypox is rare &amp; does not spread easily between people without close contact. The threat of #MonkeyPox to the general NJ population remains low. For more information, visit @CDCgov at _URL_ #HealthierJC @JerseyCity _URL_",Hootsuite Inc.,False,True,"Together with our partners HHS, JCHA, JCMC, NJCU & JCPC, our mission is to create a culture of health in Jersey City, NJ.",2016-03-03 21:22:08,0,0,0,0,2245,1582,7434,30,"Jersey City, NJ",0,0
47,2022-07-09 00:01:01,New York Post : Men likely spread monkeypox at Texas bathhouses through sex with multiple men. _URL_ via @GoogleNews,Twitter for Android,False,True,Su Real Alteza Guillermo Dafid desde Casa Morillo de Andalusia y Rey de Nuevo Espana y del Gente y Conde de Cartagena y Marqués de La Puerta (1816 Fernando VII),2011-08-11 15:40:23,0,0,0,0,530,499,144866,2,Florida,0,0
48,2022-07-09 00:01:07,Dozens line up for vaccine against monkeypox in New York City _URL_ via @MailOnline,Twitter Web App,False,False,"♡ Mother, Daughter, Friend & Animal lover. Founder of Enigma Films & Sarskaia. Science Nerd. Life is too short. Always look at the bright side.♡",2011-01-03 01:28:01,0,0,0,0,2660,5002,223398,338,Rocky Mountain High - USA,0,0
49,2022-07-09 00:01:14,French health body indicates at-risk groups to be vaccinated against monkeypox _URL_,Twitter Web App,False,True,Innovate your world via one click visit...!,2021-07-28 21:51:55,0,0,0,0,5,1,8767,0,Pakistan,0,0
50,2022-07-09 00:01:23,France urges monkeypox jab for sex workers — RT World News _URL_,Twitter Web App,False,False,None,2010-10-10 12:06:20,0,0,0,0,787,4973,1248889,98,None,0,0
51,2022-07-09 00:02:06,South Africa: Monkeypox Does Not Spread Faster in Men Who Have Sex With Men – Virus Spreads Through Contact _URL_,WordPress.com,True,True,Kenya's Dedicated Online Human Drugs and Medicines Pharmacy.,2014-11-30 15:43:56,0,0,0,0,1362,278,23289,10,Nairobi,0,0
54,2022-07-09 00:02:49,Experts: Monkeypox not as contagious as Covid-19 _URL_ _URL_,TwitterRSSTSOLAgent,True,True,News updates from Malaysia's top English-language daily and website.,2009-03-03 06:19:00,1,0,0,0,1793873,252,477725,4106,"Kuala Lumpur, Malaysia",0,0
57,2022-07-09 00:03:05,What's your risk level for getting monkeypox in South Carolina? We asked experts _URL_,SocialNewsDesk,True,True,"News19 WLTX is On Your Side with Breaking News, Weather and Sports from Columbia, SC. Retweets are not an endorsement. | _URL_",2008-11-14 14:14:03,1,0,0,0,124132,3262,491971,1112,"Columbia, SC",0,0
62,2022-07-09 00:04:38,"If you want to understand why the monkeypox vaccine and govt response has been so slow to roll out and/or read a bit more what this experience has been like, @MrJDWalsh does a job on elucidating both _URL_",Twitter for iPhone,False,True,(he/him) PMHNP :rainbow_flag::transgender_flag:| personal account | probably tweeting stupid shit until i get pissed like about monkeypox | aprendendo :Brazil:,2009-09-22 04:32:25,0,0,2,0,8819,1242,2059,11,"New York, NY",0,0
63,2022-07-09 00:04:48,First MONKEY POX case reported in Kolkata? Student admitted with 'RASH' _URL_,WordPress.com,False,True,"Chay Time News is a news website where you can find news in every category like Politics, Entertainment, B-Town Gossips, Sports & many More.",2019-06-16 06:28:12,0,0,0,0,301,953,116473,2,New Delhi,0,0
65,2022-07-09 00:04:53,West Virginia detects first probable case of monkeypox - Newsworldpress @ _URL_ _URL_,NewsWorldpress,False,True,"_URL_ focuses in global news, travel industry and gadget technology. We brings you the latest news from around the world.",2019-10-13 06:11:50,0,0,0,0,129,2,396239,6,None,0,0
68,2022-07-09 00:05:33,"@Monkeypoxtally if you have the opportunity to be vaccinated for monkeypox, here is how that vaccine works! _URL_",Twitter for iPhone,False,True,Medical Device Engineer | Making Science Accessible & Understandable | Subscribe on YouTube: _URL_,2017-01-26 23:28:45,3,1,5,0,39604,308,2936,378,NYC,0,0
72,2022-07-09 00:07:08,"@LizHighleyman @SpeakerPelosi Living in the Bay Area, we have access to weekly wastewater testing to assess MonkeyPox risk (to an extent) outside of direct testing thank you -SCAN (sewer coronavirus alert network) -@Stanford  -@EmoryUniversity  -@verilylifesci  _URL_ _URL_",Twitter Web App,False,False,The main air filter in your home is your families lungs. Windows+HEPA+CO2meter+Masks #Vaccinate #Ventilate #useHEPA #monitorCO2 #MaskUpN95,2018-06-17 13:28:58,0,0,1,0,1296,725,22836,19,None,0,0
73,2022-07-09 00:07:15,West Virginia detects first probable case of monkeypox _URL_,WordPress.com,False,True,Welcome to the official Handle of theusarticles here you will find the latest news updates about the latest happening in The America & around the world,2022-01-15 07:01:35,0,0,0,0,22,123,29902,1,None,0,0
78,2022-07-09 00:08:29,Tune in to @News12BX @News12BK for more on what people think of the accessibility and equity of the monkey pox vaccine. _URL_,Twitter for iPhone,True,False,:movie_camera: News Reporter @news12 covering NYC:Statue_of_Liberty::red_apple: Facebook & Instagram: @faithgrahamtv,2019-01-02 02:21:03,1,1,4,0,5150,485,1082,20,"New York, USA",0,0
82,2022-07-09 00:09:41,"Biden administration to distribute 144,000 additional doses of monkeypox vaccine as cases spike _URL_",Twitter Web App,False,False,I'm seriously newsie. Anything I say is my own opinion. A picture is worth a thousand words.,2016-11-09 15:41:13,0,0,0,0,538,2150,221949,3,Northeast USA,0,0
83,2022-07-09 00:10:04,France to begin preventive monkeypox vaccination campaign for vulnerable groups _URL_ _URL_,aa.com.tr,True,True,"News from around the world, digital content, human interest stories by Anadolu Agency Also follow :camera_with_flash:+ :movie_camera:: @anadoluimages TR: @anadoluajansi AR: @aa_arabic",2011-01-19 14:45:49,1,0,2,0,189132,28,289329,2304,Ankara - TÜRKİYE,0,0
87,2022-07-09 00:11:13,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,False,False,None,2010-03-12 05:38:03,0,0,0,0,24970,27466,954911,8,"Tuscaloosa, AL",0,0
89,2022-07-09 00:11:26,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Tweetbot for iΟS,True,False,"Explorer, founder of Lachine, seigneur of Cataracoui, discoverer of the mouths of the Mississippi.",2015-03-08 18:30:11,4,16,28,4,130677,1107,160240,1240,None,0,0
90,2022-07-09 00:11:32,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say Longstanding weaknesses in the public health system are giving the virus a chance to become entrenched. via @NYTimes _URL_",Twitter for iPhone,True,False,"Desmond Tutu: ""If you are neutral in situations of injustice, you have chosen the side of the oppressor.""",2009-04-19 16:10:21,27,3,47,2,475954,1471,98048,3419,USA,0,0
92,2022-07-09 00:12:00,"As of Friday, New York City is reporting 160 presumed monkeypox cases. Here's what you need to know about the disease, as well as the five boroughs' efforts to fight it, with advice from @CDCgov and @nycHealthy. _URL_",Sprout Social,False,True,Healthy families. Thriving communities. Health equity in NYC. RT ≠ endorsement.,2016-04-25 15:50:24,0,0,1,0,2529,2083,4199,27,"New York, NY",0,0
96,2022-07-09 00:12:58,"NYTimes: The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter Web App,False,False,:peace_symbol::purple_heart: Blessed Be )0( #OverEducatedUnderLovedGenXCatLover #Mom #Wife #Friend #BLM #Resist #LoveIsLove #Ally #StopDomesticViolence She/her,2015-05-27 23:05:43,0,0,0,0,3247,4990,85747,41,"Michigan, USA",0,0
99,2022-07-09 00:13:21,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say Longstanding weaknesses in the public health system are giving the virus a chance to become entrenched.  _URL_",Twitter for Android,False,False,"Sports, Politics, Entertainment, Commerce, Technology, Relationships and Law (SPECTRaL) Enthusiast; Host: @RacialDraftPod; @ThePopBreak; He/Him",2009-03-29 16:11:24,0,0,0,0,2041,1755,314871,113,"Brooklyn, NY",0,0
102,2022-07-09 00:13:43,"""Yet the response in the United States has been sluggish and timid, reminiscent of the early days of the #Covid #pandemic, experts say, raising troubling questions about the nation's preparedness for pandemic threats."" _URL_  #monkeypox",Twitter for iPhone,False,True,"Culture Worker | Curator, Essayist, Arts Educator - Multicultic Afro-diasporic Healer | Yayi Nkisi Malongo, Muertera, Espiritista",2008-04-27 18:56:21,1,0,3,0,5436,1665,30087,87,"Seattle, WA",0,0
105,2022-07-09 00:14:22,"As monkeypox hits California's LGBTQ community, activists say not enough is being done _URL_ via @Yahoo",Twitter Web App,False,False,DAWG,2022-03-19 20:26:46,0,0,0,0,7,57,5522,0,None,0,0
106,2022-07-09 00:15:06,"Philly's tally of monkeypox cases is growing, and a shipment of 225 vaccine doses expected to arrive next week falls short of the city's needs in a growing national outbreak, health department officials said. _URL_",SocialFlow,True,True,"The Philadelphia Inquirer is your front-row seat to the Greater Philadelphia region. You can support local, impactful journalism at _URL_",2008-03-26 01:57:54,5,0,5,1,433497,1228,220191,3078,"Philadelphia, PA",0,0
110,2022-07-09 00:15:49,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,False,True,"Past President NSLP, Past Director (NS) LPC, Professor, Editor Stuart Texts (_URL_ Past Chair, _URL_ _URL_",2012-03-06 14:51:41,0,0,0,0,1043,2012,49281,0,Canada,0,0
112,2022-07-09 00:16:07,"The @SF_DPH received 2,300 doses of the monkeypox vaccine this week. Supply constraints mean that only high-risk groups are being told to get vaccinated for the moment—and there aren't yet clear eligibility guidelines. Here's what you need to know. :down_arrow: _URL_",Sprout Social,True,True,Know Your City. News serving everyone with a stake in the future of San Francisco.,2021-01-04 01:04:32,1,0,2,0,8392,458,4208,128,"San Francisco, CA",0,0
114,2022-07-09 00:16:25,"Health officials have identified Michigan's second case of monkeypox in Detroit. The first was in Oakland County, but it's not clear if the two instances may be linked. _URL_",Twitter Web App,True,False,Journalist @wnemtv5news. @_hamptonu & @waynestate alum. Child of God. Native Detroiter. My tweets are not affiliated with any organization.,2009-05-19 22:07:55,0,0,0,0,1319,1037,22318,29,None,0,0
115,2022-07-09 00:16:34,"Monkeypox spreads in different ways.  The virus can spread from person-to-person through: Direct contact with the infectious rash, scabs or body fluids. Respiratory secretions during prolonged, face-to-face contact or during intimate physical contact.",Twitter Web App,False,True,"Certified Paralegal. former photog for the @AP @NYTimes @LATimes Swimmer, runner, and cyclist. #JohnLewisVotingRightsAct",2008-10-11 08:05:00,0,1,0,0,3832,5001,156862,349,In My Heart,0,0
120,2022-07-09 00:17:29,"Another barrier to containing a disease like monkeypox is a dearth of sexual health clinics, as Dr. Varma noted in a recent opinion article in The New York Times. _URL_",Twitter for iPhone,True,True,Buffalonian. Words in @currentpubmedia @Washingtonpost @BlockClubChi @Citylab DM for Signal,2010-11-29 05:45:14,2,1,0,0,7829,8947,36840,180,"Chicago, IL",0,0
122,2022-07-09 00:18:33,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,False,False,I want a world where everyone belongs and is valued. #WarrenDemocrat #Boomer She/Her Vaccinated against Covid-19,2014-10-31 19:31:58,0,1,0,0,1726,1678,65872,15,"Manhattan, NY",0,0
124,2022-07-09 00:19:30,Check out Brandi Smith's video! #TikTok _URL_ 20 Cases of Confirmed Monkey Pox in Houston Men,Twitter for Android,False,False,"Fun, friendly, witty 60 year old man who loves animals and kind kindred people.",2022-07-05 10:56:34,0,0,0,0,0,1,608,0,None,0,0
126,2022-07-09 00:19:32,"Monkeypox is transmitted to humans through close contact (eyes,nose,mouth,small droplets) with an infected person or animal, or with material contaminated with the virus. Take all the precautions to protect yourself, &amp; avoid someone that exhibit the monkeypox symptoms.",Twitter Web App,False,True,"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",2021-02-12 07:29:00,0,1,0,0,528,618,1297,0,ቤተ አምሓራ,0,0
127,2022-07-09 00:19:32,"Monkeypox, caused by the monkeypox virus is spreading globally, with @CDCgov reporting &gt;600 confirmed cases in U.S, &gt; 100 in California,40 cases in San Francisco. Symptoms include fever, swollen lymph nodes, body aches, &amp; sores or rash with skin lesions and scabs.",Twitter Web App,False,True,"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",2021-02-12 07:29:00,0,1,2,0,528,618,1297,0,ቤተ አምሓራ,0,0
128,2022-07-09 00:19:33,5 Things to Know about Monkeypox @dr_demetre _URL_ via @YouTube,Twitter Web App,False,True,"Health & Political Inquires. ""The only thing necessary for the triumph of evil is for good men/women to do nothing""",2021-02-12 07:29:00,0,1,0,0,528,618,1297,0,ቤተ አምሓራ,0,0
131,2022-07-09 00:19:42,"FAQ: Monkeypox is in Oregon. What you need to know about symptoms, spread and vaccines _URL_",IFTTT,True,True,"Follow for breaking news, stories, photos, RTs of our journalists and more",2009-01-10 18:46:52,3,0,3,0,31580,104,67493,568,"3500 Chad Dr., Ste. 600, 97408",0,0
133,2022-07-09 00:19:55,"""The first missteps in the US response to monkeypox were in testing. As in the early days of the coronavirus pandemic, samples..are being funneled to the CDC for final diagnosis, a process that can take days. Only recently have tests been shipped to commercial laboratories""",Twitter Web App,True,True,Board of Governors Professor of Chemistry and Chemical Biology @RutgersU,2009-06-17 00:32:29,1,1,10,1,44002,253,58701,597,"New Jersey, USA",0,0
134,2022-07-09 00:19:55,"""The first cases of monkeypox were reported in May, but tests will not be readily available until sometime this month. Vaccines will be in short supply for months longer. Surveillance is spotty, and official case counts are likely a gross underestimate.""",Twitter Web App,True,True,Board of Governors Professor of Chemistry and Chemical Biology @RutgersU,2009-06-17 00:32:29,1,1,12,0,44002,253,58701,597,"New Jersey, USA",0,0
135,2022-07-09 00:20:00,Probable #monkeypox case diagnosed in Clark County. _URL_,Sprout Social,True,True,The news that matters to you from local experts and trusted sources. Always live on the free @Audacy app.,2009-04-27 17:10:52,0,0,0,0,5755,1868,38554,262,"Las Vegas, NV",0,0
142,2022-07-09 00:21:02,an interesting implication of the monkeypox apobec story is that it suggests that mpxv is NOT susceptible to the apobecs in its original reservoir _URL_,Twitter Web App,False,False,Very safe. Perfectly normal.,2011-06-18 14:38:08,0,2,5,0,9265,2009,104792,138,Pluto,0,0
145,2022-07-09 00:22:03,US will send out more monkeypox vaccines as cases surpass 700 _URL_,WordPress.com,False,True,"_URL_ provides Top Latest Breaking News of Technology, Science, Entertainment, Politics, Sports, etc.",2021-08-02 02:36:41,0,0,0,0,58,72,23796,0,None,0,0
151,2022-07-09 00:22:36,Monkeypox vaccine: Durham and Wake County have limited supply _URL_,WordPress.com,False,True,None,2017-04-05 14:41:32,0,0,0,0,145,417,54244,0,USA,0,0
155,2022-07-09 00:23:39,"Rapid Diagnostic Testing for Response to the Monkeypox Outbreak — Laboratory Response Network, United States, May 17–June 30, 2022 _URL_",WordPress.com,False,True,24/7 News From Around the World,2022-03-17 00:31:51,0,0,0,0,88,11,58096,0,"Los Angeles, CA",0,0
156,2022-07-09 00:23:56,Just heard on the local news that a monkey pox vaccine will be available here in California very soon :smiling_face_with_smiling_eyes:.,Twitter for iPhone,False,False,"Black, gay, smart, witty, anti-social, with many eclectic taste. This seemed like the perfect forum for me.",2013-08-17 02:06:08,0,0,0,0,71,318,2606,1,Where I want to be,0,0
167,2022-07-09 00:25:39,Wake county got a case of monkey pox :face_exhaling:,Twitter for iPhone,False,False,funny shit lives here . laugh :wilted_flower:,2010-08-31 12:47:45,0,0,0,0,1282,1349,48350,5,None,0,0
173,2022-07-09 00:28:16,Finding out that they're giving monkey pox vaccines to those in Fire Island while only opening two sites in Manhattan and ignoring Brooklyn Queens and the Bronx _URL_,Twitter for iPhone,False,True,Easy. Breezy. Beautiful. Queer liberation not rainbow capitalism. :rainbow_flag::Iran:,2009-05-24 02:31:16,1,0,11,1,1841,988,43307,7,"Brooklyn, NY",0,0
177,2022-07-09 00:29:02,"@B52Malmet @nytimes But don't fall into trap that it is a ""gay disease"".. CDC notes methods of spread of monkey pox. _URL_",Twitter for iPhone,False,False,"Mother, Grandmother, Teacher, Attorney, Christian but not Evangelical Right ... Time 2 Act for truth. The Rolex belonged to his late son, Beau.",2016-03-01 03:13:14,0,1,0,0,1392,422,148340,5,United States,0,0
178,2022-07-09 00:29:02,New York City has quickly become the epicenter of the monkeypox outbreak in the U.S. and communities most affected are scrambling to get their hands on a limited supply of the vaccine. _URL_,SocialFlow,True,True,Get breaking news and Storm Team 4 weather updates. Plus stories from New York's biggest investigative unit. News tip or question? tips@nbcnewyork.com,2008-08-15 16:16:53,9,8,4,0,343829,1953,265640,4564,"New York, NY",0,0
180,2022-07-09 00:29:24,SOUTH FLORIDA GAYS wilton manors is offering monkeypox vaccines next week at the pride center. only the 13th-16th are open. make an appointment. _URL_,Twitter for iPhone,False,True,27 | he/him/his | blm,2010-08-09 19:35:40,0,1,1,0,2016,406,36092,1,"Miami, FL",0,0
183,2022-07-09 00:30:00,"MONKEYPOX IN NYC: As cases continue to climb, concerned New Yorkers are worried that vaccine rollout will not target the right communities in all five boroughs. _URL_",TweetDeck,True,True,"24/7 Hyper-local breaking news, weather, traffic and more. Download our app or go to _URL_ for updates. For news tips, call (718) 861-6800. #Bronx",2009-05-06 19:04:38,1,0,2,0,26452,189,63269,500,"Bronx, NY",0,0
184,2022-07-09 00:30:00,"MONKEYPOX IN NYC: As cases continue to climb, concerned New Yorkers are worried that vaccine rollout will not target the right communities in all five boroughs. _URL_",TweetDeck,True,True,"24/7 Hyper-local breaking news, weather, traffic and more. Download our app or go to _URL_ for updates. For news tips, call (718) 861-6818. #Brooklyn",2009-05-06 19:44:38,0,0,0,0,18210,220,60229,427,"Brooklyn, NY",0,0
185,2022-07-09 00:30:01,UPDATE: The Southern Nevada Health District reported that a man in his 40's is the latest probable monkeypox case. #monkeypox _URL_,Brandwatch,True,True,Nevada's largest newspaper and the most reliable source for news in Southern Nevada. Send news tips to newstips@reviewjournal.com #RJNow,2008-07-08 21:53:13,1,5,2,0,287447,246,225132,2328,"Las Vegas, NV",0,0
192,2022-07-09 00:30:33,What doctors wish patients knew about monkeypox _URL_ (via @AmerMedicalAssn),Twitter Web App,False,False,Disability Rights Activist,2011-03-11 19:25:44,0,0,0,0,1446,5001,119934,17,"Silver Spring, MD",0,0
193,2022-07-09 00:30:48,Join me and Dr. Raul Pino on 7/12 for an important discussion with local experts on how to protect yourself from the meningococcal and monkeypox outbreaks affecting our community during one of the worst outbreaks in U.S. history among gay/bi men. RSVP: _URL_ _URL_,Twitter Web App,True,True,"FL's first LGBTQ Latino legislator. FL House District 49. He/him/él. Good husband, brother, son, + favorite guncle. _URL_",2009-04-17 04:57:21,11,3,23,0,42395,3912,19691,360,Orlando,0,0
194,2022-07-09 00:31:03,Monkeypox: Is enough being done to stop its global spread? | The Stream _URL_,dlvr.it,False,False,"Bringing the news that is important, that as quick as a dog can bring it.",2012-08-28 18:07:48,0,0,0,0,1784,179,2111894,257,Doghouse,0,0
195,2022-07-09 00:31:19,"Summary of new confirmed monkeypox cases reported on July 8th: 1. Spain:Spain: recording 500 cases 2. UK:United_Kingdom: with a robust uptick 3. France:France: surprisingly high numbers 4. Italy:Italy: and Portugal:Portugal: bright spot 5. Total confirmed cases today: 1,207 6. Total confirmed cases :globe_showing_Europe-Africa: : 9,478 _URL_",Twitter for iPhone,False,True,Live updates on the Monkeypox outbreak and case count around the world :globe_showing_Americas: Support us- _URL_,2018-08-09 12:08:02,43,14,120,12,10469,9,1026,99,"Miami, FL",0,0
196,2022-07-09 00:31:32,"Interesting preprint looking at monkeypox genomes. Current MPXV strains seem to be missing the C3L gene, which normally blocks a specific part of the immune response known as complement. Perhaps this explains the lower-than-expected mortality?_URL_ _URL_",Twitter Web App,True,True,Canadian in Boston. Hospitalist. FIDSA. Amdt14.S3.1.1 fan. Atmospheric CO2 420 ppm. #M4A #RaisetheWage #blacklivesmatter,2012-07-04 02:08:10,0,0,4,0,6766,5084,5076,71,"Boston, MA",0,0
197,2022-07-09 00:31:38,NYC is 'epicenter' of monkeypox outbreak as cases surge _URL_,Twitter Web App,False,False,#WeThePeople #FWhoJustVoteBlue #ByeDon #BlueWave:water_wave: #TheSquad #FullyVaccinated And #Boosted #PresidentBidenAndVPHarris #TruthToPower #TeamJustice,2017-07-26 11:37:43,1,0,0,0,3765,3657,48913,3,United States,0,0
199,2022-07-09 00:31:48,They're saying that the monkeypox is prominent in the LGBT community LMFAOOOOOSKSK :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face: _URL_,Twitter for iPhone,False,False,Lioness :lion::United_States: #AdoptDontShop,2020-09-11 09:35:15,0,1,3,0,210,111,11177,2,"Los Angeles, CA",0,0
201,2022-07-09 00:32:14,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say - Worrisome _URL_",Twitter for iPhone,False,False,Former International President of Médecins Sans Frontières. Opinions expressed are my own. RT doesn't mean endorsement.,2013-11-15 12:14:06,10,4,20,1,31567,484,9742,546,"Montréal, Québec",0,0
202,2022-07-09 00:32:18,"Monkeypox is located in Lane County, Oregon. FAQ about infectious viruses _URL_",WordPress.com,False,True,collaboration@support.exbulletin.com,2022-01-14 23:40:55,0,0,0,0,103,1,128163,1,None,0,0
214,2022-07-09 00:33:50,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter Web App,False,False,#AlwaysWithHer HRC won the popular vote. I stand with Nancy. FFS Ditch Mitch. Fully Pfizered and double boosted. I stand with Ukraine. Pro-choice.,2012-08-15 05:59:53,0,0,0,0,2439,3760,74433,21,Chicago IL suburb,0,0
220,2022-07-09 00:35:17,"@HolyCitySinner From CDC ""Globally, early data suggest that gay, bisexual, and other men who have sex with men make up a high number of monkeypox cases."" _URL_",Twitter for iPhone,False,False,None,2022-07-01 21:51:53,0,0,0,0,0,76,44,0,None,0,0
226,2022-07-09 00:36:38,"When the number of cases exceeds 700, the United States ships more monkeypox shots _URL_",WordPress.com,False,True,collaboration@support.exbulletin.com,2022-01-14 23:40:55,0,0,0,0,103,1,128163,1,None,0,0
227,2022-07-09 00:36:55,West Bengal: Youth in hospital with suspected monkeypox - Times of India _URL_ #WestBengal,IFTTT,False,True,Latest News on West Bengal. Hour on Hour. Day After Day. Everyday of Every Week of Every Month. All the Year Round! Follow Me For Unbiased & Quick News Updates.,2013-08-18 05:24:03,0,0,1,0,1828,2,57149,10,"Kolkota, West Bengal",0,0
231,2022-07-09 00:37:47,What's your risk level for getting monkeypox in South Carolina? We asked experts _URL_ via @wltx (JR since SC really lacks in vax and protection pls tell your staff to keep up w/ this info.),Twitter Web App,False,False,Child of the King,2018-01-10 04:54:31,0,0,0,0,39,716,19180,0,WORLDWIDE,0,0
232,2022-07-09 00:37:57,@twobluecats @gabbystern @WHO @WHOAFRO You are aware that monkeypox is endemic on many areas around Africa?:face_with_rolling_eyes:,Twitter for Android,False,False,"Into RF, prefer UHF and VHF-L, VHF-H is mainstream and rasict. ZE/ZIE",2021-09-01 08:54:30,0,0,0,0,21,51,954,1,None,0,0
233,2022-07-09 00:37:58,Island Health confirms one case of monkeypox on south Island _URL_,TweetDeck,True,True,"Independent & Employee-Owned News for Vancouver Island, British Columbia. Email tips@cheknews.ca",2010-06-17 20:18:39,10,5,12,1,53285,2038,83478,600,"Victoria, BC",0,0
234,2022-07-09 00:38:12,"@HolyCitySinner CDC Guidelines: ""How can a person lower the chance of getting monkeypox at places like raves, parties, clubs, and festivals?"" _URL_",Twitter for iPhone,False,False,None,2022-07-01 21:51:53,0,0,0,0,0,76,44,0,None,0,0
240,2022-07-09 00:39:50,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",Twitter for Android,False,False,"Retired, living the good life. Colorado native. Radical, tree-hugger, anti-nuke progressive atheist with positive hopes. Resist",2012-12-08 20:38:00,0,0,0,0,10425,11461,297631,118,Timnath Colorado,0,0
242,2022-07-09 00:40:16,Southern Nevada Health District reports another probable case of monkeypox – Southern Nevada Health District _URL_,WordPress.com,False,True,"_URL_ provides Top Latest Breaking News of Technology, Science, Entertainment, Politics, Sports, etc.",2021-08-02 02:36:41,0,0,0,0,58,72,23796,0,None,0,0
